-DOCSTART- -X- -X- O
большинство NOUN I-NP O
которых PRON I-NP O
не PART B-VP O
являются VERB I-VP O
членами NOUN B-NP O
какого-либо DET I-NP O
профсоюза NOUN I-NP O
, PUNCT B-VP O
начали VERB I-VP O
свои DET B-NP O
действия NOUN I-NP O
около ADP I-NP O
7 NUM I-NP O
вечера NOUN I-NP O
. PUNCT B-VP O

Разговаривая VERB B-VP O
по ADP B-NP O
мобильному ADJ I-NP O
телефону NOUN I-NP O
с ADP I-NP O
завода NOUN I-NP O
, PUNCT B-VP O
Марк PROPN I-VP B-Person
, PUNCT B-NP O
рабочий ADJ I-NP O
из ADP I-NP O
цеха NOUN I-NP B-Org
окончательной ADJ I-NP O
обработки NOUN I-NP O
Vestas PROPN B-VP B-Org
, PUNCT I-VP O
предпочевший VERB I-VP O
не PART I-VP O
разглашать VERB I-VP O
свою DET B-NP O
фамилию NOUN I-NP O
, PUNCT B-VP O
опасаясь VERB I-VP O
репрессий NOUN B-NP O
со ADP I-NP O
стороны NOUN I-NP O
руководства NOUN I-NP O
, PUNCT B-VP O
назвал VERB I-VP O
атмосферу NOUN B-NP O
« PROPN B-VP O
на ADP B-NP O
самом ADJ I-NP O
деле NOUN I-NP O
хорошей ADJ B-VP O
» PROPN I-VP O
. PUNCT I-VP O

« NOUN B-NP O
Всё PRON B-VP O
отлично ADV I-VP O
, PUNCT I-VP O
мы PRON I-VP O
получаем VERB I-VP O
большую ADJ B-NP O
поддержку NOUN I-NP O
» PROPN B-VP O
, PUNCT I-VP O
сказал VERB I-VP O
он PRON I-VP O
. PUNCT I-VP O

Называя VERB B-VP O
Vestas PROPN B-NP B-Org
« PROPN I-NP O
мировым ADJ I-NP O
лидером NOUN I-NP O
» PROPN B-VP O
в ADP B-NP O
производстве NOUN I-NP O
ветрогенераторов NOUN I-NP O
, PUNCT B-VP O
Марк PROPN I-VP B-Person
назвал VERB I-VP O
целью NOUN B-NP O
захвата NOUN I-NP O
« PROPN I-NP O
требование NOUN I-NP O
правительству NOUN I-NP O
национализировать VERB B-VP O
нас PRON I-VP O
» PROPN I-VP O
, PUNCT I-VP O
поскольку SCONJ I-VP O
« NOUN B-NP O
Vestas PROPN I-NP B-Org
не PART B-VP O
желает VERB I-VP O
сохранить VERB I-VP O
наш DET B-NP O
завод NOUN I-NP O
работающим VERB B-VP O
» PROPN I-VP O
. PUNCT I-VP O

Завод NOUN B-NP O
закрыт VERB B-VP O
несмотря ADV B-NP O
на ADP I-NP O
растущие VERB B-VP O
прибыли NOUN B-NP O
компании NOUN I-NP O
, PUNCT B-VP O
фокусируясь VERB I-VP O
на ADP B-NP O
продажу NOUN I-NP O
в ADP I-NP O
Китай PROPN I-NP B-Location
в ADP I-NP O
связи NOUN I-NP O
с ADP I-NP O
падением NOUN I-NP O
спроса NOUN I-NP O
в ADP I-NP O
Северной ADJ I-NP B-Location
Европе PROPN I-NP O
. PUNCT B-VP O

Согласно ADP B-NP O
отчёту NOUN I-NP O
Guardian PROPN I-NP B-Org
, PUNCT I-NP O
низкий ADJ I-NP O
спрос NOUN I-NP O
в ADP I-NP O
Великобритании PROPN I-NP B-Location
является VERB B-VP O
следствием NOUN B-NP O
затяжного ADJ I-NP O
и CCONJ I-NP O
непредсказуемого ADJ I-NP O
процесса NOUN I-NP O
планирования NOUN I-NP O
, PUNCT B-VP O
связанного VERB I-VP O
с ADP B-NP O
конструированием NOUN I-NP O
ветряных ADJ I-NP O
электростанций NOUN I-NP O
в ADP I-NP O
Британии PROPN I-NP B-Location
. PUNCT B-VP O

Марк PROPN B-VP B-Person
рассказал VERB I-VP O
Викиновостям PROPN I-VP B-Org
, PUNCT I-VP O
что SCONJ I-VP O
рабочие NOUN B-NP O
в ADP B-VP O
Vestas PROPN I-VP B-Org
получили VERB I-VP O
письма NOUN B-NP O
поддержки NOUN I-NP O
от ADP I-NP O
Социалистической ADJ I-NP B-Org
рабочей ADJ I-NP O
партии NOUN I-NP B-Org
Британии PROPN I-NP I-Org
, PUNCT I-NP O
Конгресса PROPN I-NP B-Org
профсоюзов NOUN I-NP O
и CCONJ I-NP O
профсоюза NOUN I-NP B-Org
Юнайт PROPN B-VP I-Org
. PUNCT I-VP O

Согласно ADP B-ROOT O
Марку PROPN I-ROOT B-Person
, PUNCT I-ROOT O
« PROPN B-VP O
подбудили VERB I-VP O
» NUM B-NP O
рабочих NOUN I-NP O
Vistas PROPN B-VP B-Org
захватить VERB I-VP O
завод NOUN B-NP O
контакты NOUN I-NP O
с ADP I-NP O
организаторами NOUN I-NP O
захвата NOUN I-NP O
завода NOUN I-NP B-Org
Visteon PROPN I-NP I-Org
в ADP I-NP O
Белфасте PROPN I-NP B-Location
, PUNCT B-VP O
где ADV I-VP O
рабочие NOUN B-NP O
устроили VERB B-VP O
итальянскую ADJ B-NP O
забастовку NOUN I-NP O
, PUNCT I-NP O
длящуюся VERB B-VP O
неделями NOUN B-NP O
, PUNCT B-VP O
в ADP B-NP O
апреле NOUN I-NP O
этого DET I-NP O
года NOUN I-NP O
. PUNCT B-ROOT O

Марк PROPN B-VP B-Person
отметил VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
рабочие NOUN B-NP O
Visteon PROPN B-VP B-Org
рассказали VERB I-VP O
рабочим ADJ I-VP O
Vestas PROPN I-VP B-Org
, PUNCT I-VP O
что SCONJ I-VP O
захват NOUN B-NP O
« PROPN I-NP O
является VERB B-VP O
тем PRON I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
мы PRON I-VP O
должны ADJ I-VP O
сделать VERB I-VP O
для ADP I-VP O
того PRON I-VP O
, PUNCT I-VP O
чтобы SCONJ I-VP O
защитить VERB I-VP O
себя PRON I-VP O
» PROPN I-VP O
. PUNCT I-VP O

Марк PROPN B-VP B-Person
завершил VERB I-VP O
беседу NOUN B-NP O
размышлением NOUN I-NP O
о ADP I-NP O
поддержке NOUN I-NP O
народа NOUN I-NP O
, PUNCT B-VP O
сказав VERB I-VP O
« PROPN I-VP O
мы PRON I-VP O
принялись VERB I-VP O
за ADP B-NP O
сохранение NOUN I-NP O
этого DET I-NP O
вида NOUN I-NP O
работы NOUN I-NP O
— PROPN B-VP O
всё DET I-VP O
это PRON I-VP O
для ADP B-NP O
нашего DET I-NP O
будущего NOUN I-NP O
» PROPN I-NP O
. PUNCT B-VP O

22-летний ADJ B-NP O
житель NOUN I-NP O
Аризоны PROPN I-NP B-Location
, PUNCT I-NP O
открывший VERB B-VP O
стрельбу NOUN B-NP O
, PUNCT B-VP O
в ADP B-NP O
результате NOUN I-NP O
которой PRON I-NP O
пострадали VERB B-VP O
20 NUM B-NP O
человек NOUN I-NP O
, PUNCT B-VP O
и CCONJ I-VP O
попытавшийся VERB I-VP O
убить VERB I-VP O
члена NOUN B-NP O
Конгресса PROPN I-NP B-Org
США PROPN I-NP B-LocOrg
, PUNCT B-VP O
впервые ADV I-VP O
предстал VERB I-VP O
перед ADP B-NP O
судом NOUN I-NP O
по ADP I-NP O
обвинению NOUN I-NP O
в ADP I-NP O
совершении NOUN I-NP O
федерального ADJ I-NP O
преступления NOUN I-NP O
. PUNCT B-VP O

В ADP B-NP O
понедельник NOUN I-NP O
Джаред PROPN B-VP B-Person
Лофнер PROPN I-VP I-Person
в ADP B-NP O
наручниках NOUN I-NP O
и CCONJ B-VP O
в ADP B-NP O
сопровождении NOUN I-NP O
нескольких NUM I-NP O
охранников NOUN I-NP O
доставлен VERB B-VP O
в ADP B-NP O
суд NOUN I-NP O
в ADP I-NP O
города NOUN I-NP B-Location
Феникс PROPN I-NP I-Location
. PUNCT I-NP O

Побритый ADJ B-VP O
наголо NOUN B-NP O
и CCONJ B-VP O
одетый VERB I-VP O
в ADP B-NP O
тюремную ADJ I-NP O
форму NOUN I-NP O
, PUNCT B-VP O
он PRON I-VP O
сказал VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
знает VERB I-VP O
свои DET B-NP O
права NOUN I-NP O
. PUNCT B-VP O

Лофнер NOUN B-NP B-Person
предстал VERB B-VP O
перед ADP B-NP O
судом NOUN I-NP O
через ADP I-NP O
два NUM I-NP O
дня NOUN I-NP O
после ADP I-NP O
стрельбы NOUN I-NP O
в ADP I-NP O
Тусоне PROPN I-NP B-Location
. PUNCT I-NP O

Тогда ADV B-VP O
были AUX I-VP O
убиты VERB I-VP O
шесть NUM B-NP O
человек NOUN I-NP O
, PUNCT I-NP O
а CCONJ I-NP O
член NOUN I-NP O
Палаты PROPN B-VP B-Org
представителей NOUN B-NP O
Конгресса PROPN I-NP B-Org
США PROPN I-NP B-LocOrg
от ADP I-NP O
штата NOUN I-NP B-LocOrg
Аризона PROPN I-NP I-LocOrg
Гэбриэль PROPN B-VP B-Person
Гиффордс PROPN I-VP I-Person
получила VERB I-VP O
ранение NOUN B-NP O
и CCONJ B-VP O
в ADP I-VP O
настоящее ADJ I-VP O
время NOUN B-NP O
находится VERB B-VP O
в ADP B-NP O
критическом ADJ I-NP O
состоянии NOUN I-NP O
. PUNCT B-VP O

Были AUX B-VP O
ранены VERB I-VP O
еще ADV I-VP O
13 NUM B-ROOT O
человек NOUN B-NP O
. PUNCT B-ROOT O

В ADP B-NP O
этот DET I-NP O
же PART I-NP O
день NOUN I-NP O
президент NOUN I-NP O
США PROPN I-NP B-LocOrg
Барак PROPN I-NP B-Person
Обама PROPN I-NP I-Person
заявил VERB B-VP O
, PUNCT I-VP O
что SCONJ I-VP O
страна NOUN B-NP O
и CCONJ I-NP O
народ NOUN I-NP O
до ADP B-VP O
сих DET I-VP O
пор NOUN B-NP O
скорбят VERB B-VP O
и PART I-VP O
не PART I-VP O
могут VERB I-VP O
оправиться VERB I-VP O
от ADP B-NP O
шока NOUN I-NP O
, PUNCT B-VP O
вызванного VERB I-VP O
тем PRON I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
произошло VERB I-VP O
в ADP B-NP O
субботу NOUN I-NP O
. PUNCT B-VP O

Обама PROPN B-VP B-Person
выступал VERB I-VP O
в ADP B-NP O
Белом ADJ I-NP B-Location
доме NOUN I-NP I-Location
через ADP I-NP O
несколько NUM I-NP O
часов NOUN I-NP O
после ADP B-VP O
того PRON I-VP O
, PUNCT I-VP O
как SCONJ B-NP O
по ADP I-NP O
всей DET I-NP O
стране NOUN I-NP O
прошла VERB B-VP O
минута NOUN B-NP O
молчания NOUN I-NP O
в ADP I-NP O
память NOUN I-NP O
о ADP I-NP O
жертвах NOUN I-NP O
этого DET I-NP O
преступления NOUN I-NP O
. PUNCT B-VP O

Президент NOUN B-NP O
и CCONJ I-NP O
первая ADJ I-NP O
леди NOUN I-NP O
Мишель PROPN I-NP B-Person
Обама PROPN I-NP I-Person
задержались VERB B-VP O
в ADP B-NP O
Белом ADJ I-NP B-Location
доме NOUN I-NP I-Location
, PUNCT I-NP O
а CCONJ I-NP O
персонал NOUN I-NP O
и CCONJ B-VP O
посетители NOUN B-NP O
собрались VERB B-VP O
на ADP B-NP O
ступенях NOUN I-NP O
Капитолия PROPN B-VP B-Location
. PUNCT I-VP O

Нью-йоркская ADJ B-NP B-Org
фондовая ADJ I-NP O
биржа NOUN I-NP B-Org
и CCONJ I-NP O
государственные ADJ I-NP O
учреждения NOUN I-NP O
также ADV B-VP O
почтили VERB I-VP O
память NOUN B-NP O
погибших VERB B-VP O
. PUNCT I-VP O

Врачи NOUN B-NP O
, PUNCT I-NP O
прооперировавшие VERB B-VP O
и CCONJ I-VP O
лечащие VERB I-VP O
40-летнюю ADJ I-VP O
Гиффордс PROPN I-VP B-Person
, PUNCT I-VP O
говорят VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
они PRON I-VP O
настроены VERB I-VP O
немного ADV I-VP O
более ADV I-VP O
оптимистично ADJ I-VP O
. PUNCT I-VP O

По ADP B-NP O
сообщениям NOUN I-NP O
докторов NOUN I-NP O
, PUNCT I-NP O
она PRON B-VP O
реагирует VERB I-VP O
на ADP B-NP O
простые ADJ I-NP O
команды NOUN I-NP O
. PUNCT B-VP O

Вместе ADV B-VP O
с ADP I-VP O
тем PRON I-VP O
, PUNCT I-VP O
они PRON I-VP O
предупреждают VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
опасность NOUN B-NP O
еще ADV B-VP O
не PART I-VP O
миновала VERB I-VP O
, PUNCT I-VP O
хотя SCONJ I-VP O
состояние NOUN B-NP O
их PRON I-NP O
пациентки NOUN I-NP O
стабилизировалось VERB B-VP O
. PUNCT I-VP O

В ADP B-NP O
субботу NOUN I-NP O
во ADP I-NP O
время NOUN I-NP O
встречи NOUN I-NP O
с ADP I-NP O
избирателями NOUN I-NP O
возле ADP I-NP O
одного NUM I-NP O
из ADP I-NP O
супермаркетов NOUN I-NP O
Гиффордс PROPN B-VP B-Person
получила VERB I-VP O
пулевое ADJ B-NP O
ранение NOUN I-NP O
в ADP I-NP O
голову NOUN I-NP O
. PUNCT B-VP O

Лофнеру NOUN B-NP B-Person
предъявлено VERB B-VP O
обвинение NOUN B-NP O
, PUNCT I-NP O
состоящее VERB B-VP O
из ADP B-NP O
нескольких NUM I-NP O
пунктов NOUN I-NP O
. PUNCT B-VP O

Один NUM B-NP O
из ADP I-NP O
них PRON I-NP O
– NUM I-NP O
покушение NOUN I-NP O
на ADP I-NP O
политическое ADJ I-NP O
убийство NOUN I-NP O
члена NOUN I-NP O
Конгресса PROPN I-NP B-Org
, PUNCT I-NP O
два NUM I-NP O
пункта NOUN I-NP O
– PROPN I-NP O
покушение NOUN I-NP O
на ADP I-NP O
убийство NOUN I-NP O
сотрудника NOUN I-NP O
федерального ADJ I-NP O
правительства NOUN I-NP O
и CCONJ I-NP O
еще ADV I-NP O
два NUM I-NP O
пункта NOUN I-NP O
– PROPN I-NP O
покушение NOUN I-NP O
на ADP I-NP O
убийство NOUN I-NP O
сотрудника NOUN I-NP O
федерального ADJ I-NP O
учреждения NOUN I-NP O
. PUNCT I-NP O

Шаттл NOUN B-NP O
« PROPN I-NP O
Дискавери PROPN I-NP O
» PROPN B-VP O
завершил VERB I-VP O
свой DET I-VP O
39-й ADJ I-VP O
и CCONJ B-NP O
последний ADJ I-NP O
полёт NOUN I-NP O
в ADP I-NP O
космос NOUN I-NP O
. PUNCT B-VP O

В ADP B-NP O
19.58 NUM I-NP O
мск NOUN I-NP O
он PRON B-VP O
приземлился VERB I-VP O
на ADP B-NP O
космодроме NOUN I-NP O
на ADP I-NP O
мысе NOUN I-NP B-Location
Канаверал PROPN I-NP I-Location
во ADP I-NP O
Флориде PROPN I-NP B-Location
. PUNCT B-VP O

Полёт NOUN B-NP O
, PUNCT I-NP O
который PRON I-NP O
первоначально ADV I-NP O
должен ADJ I-NP O
был AUX I-NP O
продлится VERB B-VP O
11 NUM B-NP O
дней NOUN I-NP O
, PUNCT B-VP O
занял VERB I-VP O
13 NUM I-VP O
суток NOUN B-NP O
. PUNCT B-VP O

После ADP B-NP O
своего DET I-NP O
возвращения NOUN I-NP O
на ADP I-NP O
Землю PROPN I-NP B-Location
навсегда ADV I-NP O
, PUNCT I-NP O
челнок NOUN I-NP O
займёт VERB B-VP O
почётное ADJ B-NP O
место NOUN I-NP O
в ADP I-NP O
американском ADJ I-NP B-Org
музее NOUN I-NP I-Org
аэронавтики NOUN I-NP O
. PUNCT I-NP O

Программа NOUN B-NP B-Project
« PROPN I-NP O
Спейс PROPN I-NP B-Project
шаттл NOUN I-NP O
» PROPN I-NP O
близка ADJ B-ROOT O
к ADP B-NP O
своему DET I-NP O
завершению NOUN I-NP O
: PUNCT B-ROOT O
после ADP B-NP O
« NOUN I-NP O
Дискавери PROPN I-NP O
» PROPN I-NP O
, PUNCT B-VP O
в ADP B-NP O
космос NOUN I-NP O
по ADP B-VP O
разу NOUN B-NP O
отправятся VERB B-VP O
также ADV I-VP O
шаттлы NOUN B-NP O
« PROPN I-NP O
Индевор PROPN I-NP O
» PROPN I-NP O
( PUNCT I-NP O
в ADP I-NP O
конце NOUN I-NP O
апреля NOUN I-NP O
2011 NUM I-NP O
г NOUN I-NP O
. PUNCT I-NP O
) PUNCT B-ROOT O

и CCONJ B-NP O
« NOUN I-NP O
Атлантис PROPN I-NP O
» PROPN I-NP O
( PUNCT I-NP O
в ADP I-NP O
конце NOUN I-NP O
июня NOUN I-NP O
2011 NUM I-NP O
г NOUN I-NP O
. PUNCT I-NP O
) PUNCT I-NP O

. PUNCT B-ROOT O

1 NUM B-VP O
февраля NOUN B-NP O
на ADP I-NP O
ступеньках NOUN I-NP O
будущего ADJ I-NP O
президентского ADJ I-NP B-Org
центра NOUN I-NP I-Org
наследия NOUN I-NP O
возле ADP I-NP O
бизнес-центра NOUN I-NP B-Location
« PROPN B-VP O
Демидов PROPN I-VP B-Location
» PROPN I-VP O
открылся VERB I-VP O
памятник NOUN B-NP B-Location
первому ADJ I-NP O
президенту NOUN I-NP O
России PROPN I-NP B-LocOrg
Борису PROPN I-NP B-Person
Николаевичу PROPN I-NP I-Person
Ельцину PROPN I-NP I-Person
. PUNCT B-VP O

Об ADP B-NP O
этом PRON I-NP O
человеке NOUN I-NP O
говорят VERB B-VP O
разное ADJ I-VP O
, PUNCT I-VP O
особенно ADV I-VP O
на ADP I-VP O
Урале PROPN I-VP B-Location
, PUNCT I-VP O
где ADV I-VP O
его PRON I-VP O
знали VERB I-VP O
не PART B-NP O
только PART I-NP O
как SCONJ I-NP O
президента NOUN I-NP O
, PUNCT I-NP O
но CCONJ I-NP O
и PART I-NP O
как ADV I-NP O
специалиста NOUN I-NP O
в ADP I-NP O
строительной ADJ I-NP O
отрасли NOUN I-NP O
, PUNCT I-NP O
первого ADJ I-NP O
секретаря NOUN I-NP O
Свердловского ADJ I-NP B-Org
обкома NOUN I-NP I-Org
КПСС PROPN I-NP I-Org
. PUNCT B-VP O

Но CCONJ B-VP O
отрицать VERB I-VP O
его PRON I-VP O
огромные ADJ B-NP O
заслуги NOUN I-NP O
невозможно ADJ B-ROOT O
. PUNCT I-ROOT O

Уральцы NOUN B-NP O
никогда ADV B-VP O
не PART I-VP O
забудут VERB I-VP O
того PRON I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
сделал VERB I-VP O
Борис PROPN I-VP B-Person
Николаевич PROPN I-VP I-Person
для ADP B-NP O
Свердловской ADJ I-NP B-LocOrg
области NOUN I-NP I-LocOrg
, PUNCT B-VP O
ещё ADV I-VP O
будучи AUX I-VP O
первым ADJ I-VP O
секретарём NOUN B-NP O
обкома NOUN I-NP B-Org
партии NOUN I-NP I-Org
. PUNCT B-VP O

По ADP B-NP O
словам NOUN I-NP O
свердловского ADJ I-NP O
губернатора NOUN I-NP O
Александра PROPN I-NP B-Person
Мишарина PROPN I-NP I-Person
, PUNCT B-VP O
« PROPN I-VP O
уже ADV I-VP O
тогда ADV I-VP O
для ADP I-VP O
него PRON I-VP O
не PART I-VP O
существовало VERB I-VP O
понятия NOUN B-NP O
„ PROPN I-NP O
невыполнимо ADJ I-NP O
“ PROPN I-NP O
, PUNCT B-VP O
он PRON I-VP O
жил VERB I-VP O
другими ADJ B-NP O
категориями NOUN I-NP O
и CCONJ I-NP O
всех DET I-NP O
вокруг ADP B-VP O
себя PRON I-VP O
заряжал VERB I-VP O
уверенностью NOUN B-NP O
» PROPN B-VP O
. PUNCT I-VP O

В ADP B-VP O
Екатеринбурге PROPN I-VP B-Location
много ADV I-VP O
связано VERB I-VP O
с ADP B-NP O
именем NOUN I-NP O
Бориса PROPN I-NP B-Person
Николаевича PROPN I-NP I-Person
: PUNCT B-VP O
в ADP B-NP O
его PRON I-NP O
честь NOUN I-NP O
названа VERB B-VP O
улица NOUN B-NP O
, PUNCT I-NP O
Уральский ADJ I-NP B-Org
центр NOUN I-NP I-Org
, PUNCT B-VP O
его PRON B-NP O
имя NOUN I-NP O
носит VERB B-VP O
университет NOUN B-NP O
, PUNCT I-NP O
ежегодно ADV I-NP O
в ADP I-NP O
уральской ADJ I-NP O
столице NOUN I-NP O
на ADP I-NP O
кубок NOUN I-NP O
по ADP I-NP O
волейболу NOUN I-NP O
имени NOUN I-NP O
первого ADJ I-NP O
российского ADJ I-NP O
президента NOUN I-NP O
собираются VERB B-VP O
лучшие ADJ B-NP O
мировые ADJ I-NP O
команды NOUN I-NP O
. PUNCT B-VP O

А CCONJ B-VP O
теперь ADV I-VP O
память NOUN B-NP O
о ADP I-NP O
нём PRON I-NP O
будет AUX B-VP O
увековечена VERB I-VP O
в ADP B-NP O
мраморе NOUN I-NP O
. PUNCT B-VP O

Президентский ADJ B-NP B-Org
центр NOUN I-NP I-Org
наследия NOUN I-NP O
ещё ADV B-VP O
не PART I-VP O
достроен VERB I-VP O
, PUNCT I-VP O
но CCONJ I-VP O
десятиметровая ADJ I-VP O
мраморная ADJ B-NP O
стела NOUN I-NP O
- PUNCT I-NP O
обелиск NOUN I-NP O
с ADP I-NP O
барельефом NOUN I-NP O
украсила VERB B-VP O
город NOUN B-NP O
уже ADV B-VP O
сегодня ADV I-VP O
. PUNCT I-VP O

Скульптор NOUN B-NP O
Георгий PROPN I-NP B-Person
Франгулян PROPN I-NP I-Person
в ADP I-NP O
2007 NUM I-NP O
году NOUN I-NP O
соорудил VERB B-VP O
памятный ADJ B-NP O
мотив NOUN I-NP O
в ADP I-NP O
виде NOUN I-NP O
флага NOUN I-NP O
на ADP I-NP O
могиле NOUN I-NP O
Бориса PROPN I-NP B-Person
Ельцина PROPN I-NP I-Person
, PUNCT I-NP O
его PRON I-NP O
работа NOUN I-NP O
очень ADV B-VP O
понравилась VERB I-VP O
супруге NOUN B-NP O
первого ADJ I-NP O
президента NOUN I-NP O
— PROPN B-VP O
Наине PROPN I-VP B-Person
Иосифовне PROPN I-VP I-Person
, PUNCT B-NP O
и CCONJ I-NP O
создание NOUN I-NP O
обелиска NOUN I-NP O
тоже PART B-VP O
поручили VERB I-VP O
этому DET B-NP O
художнику NOUN I-NP O
. PUNCT B-VP O

По ADP B-NP O
мнению NOUN I-NP O
скульптора NOUN I-NP O
, PUNCT I-NP O
мрамор NOUN I-NP O
— PROPN I-NP O
наилучший ADJ I-NP O
материал NOUN I-NP O
для ADP I-NP O
воплощения NOUN I-NP O
его PRON I-NP O
замысла NOUN I-NP O
. PUNCT I-NP O

Было AUX B-VP O
принято VERB I-VP O
решение NOUN B-NP O
сделать VERB B-VP O
его PRON I-VP O
не PART B-NP O
в ADP I-NP O
бронзе NOUN I-NP O
, PUNCT I-NP O
не PART I-NP O
в ADP I-NP O
граните NOUN I-NP O
, PUNCT I-NP O
а CCONJ I-NP O
в ADP I-NP O
мраморе NOUN I-NP O
, PUNCT I-NP O
мрамор NOUN I-NP O
живой ADJ I-NP O
материал NOUN I-NP O
, PUNCT I-NP O
полупрозрачный ADJ I-NP O
, PUNCT B-VP O
он PRON I-VP O
очень ADV I-VP O
хорошо ADV I-VP O
сочетается VERB I-VP O
с ADP B-NP O
нашим DET I-NP O
климатом NOUN I-NP O
. PUNCT B-VP O

« NOUN B-NP O
Это PRON I-NP O
такая DET I-NP O
глыба NOUN I-NP O
в ADP I-NP O
движении NOUN I-NP O
, PUNCT I-NP O
это PRON I-NP O
глыба NOUN I-NP O
, PUNCT I-NP O
которой PRON I-NP O
и PART I-NP O
был AUX I-NP O
Борис PROPN I-NP B-Person
Николаевич PROPN I-NP I-Person
Ельцин PROPN I-NP I-Person
» PROPN B-VP O
, PUNCT I-VP O
— NOUN B-NP O
говорит VERB B-VP O
скульптор NOUN B-NP O
. PUNCT B-VP O

Специально ADV B-VP O
на ADP B-NP O
торжества NOUN I-NP O
, PUNCT I-NP O
посвященные VERB B-VP O
юбилею NOUN B-NP O
Бориса PROPN I-NP B-Person
Николаевича PROPN I-NP I-Person
в ADP B-VP O
Екатеринбург PROPN I-VP B-Location
прибыл VERB I-VP O
президент NOUN B-NP O
РФ PROPN I-NP B-LocOrg
Дмитрий PROPN I-NP B-Person
Медведев PROPN I-NP I-Person
. PUNCT B-VP O

Сегодня ADV B-NP O
утром NOUN I-NP O
, PUNCT I-NP O
открывая VERB B-VP O
памятник NOUN B-NP O
, PUNCT B-VP O
он PRON I-VP O
отметил VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
« PROPN I-VP O
Россия PROPN I-VP B-LocOrg
должна ADJ I-VP O
быть AUX I-VP O
благодарна ADJ I-VP O
Ельцину NOUN B-NP B-Person
за ADP B-VP O
то PRON I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
в ADP B-NP O
самый ADJ I-NP O
сложный ADJ I-NP O
период NOUN I-NP O
страна NOUN I-NP O
не PART B-VP O
свернула VERB I-VP O
с ADP B-NP O
пути NOUN I-NP O
изменений NOUN I-NP O
, PUNCT B-VP O
провела VERB I-VP O
серьёзные ADJ B-NP O
преобразования NOUN I-NP O
и CCONJ B-VP O
сегодня ADV I-VP O
движется VERB I-VP O
вперёд ADV I-VP O
» PROPN I-VP O
. PUNCT I-VP O

В ADP B-NP O
церемонии NOUN I-NP O
также ADV I-NP O
приняли VERB B-VP O
участие NOUN B-NP O
вдова NOUN I-NP O
Ельцина PROPN I-NP B-Person
Наина PROPN I-NP I-Person
Иосифовна PROPN I-NP I-Person
, PUNCT I-NP O
его PRON I-NP O
друзья NOUN I-NP O
, PUNCT I-NP O
представители NOUN I-NP O
федеральной ADJ I-NP O
власти NOUN I-NP O
, PUNCT B-VP O
глава NOUN B-NP O
Свердловской ADJ I-NP B-LocOrg
области NOUN I-NP I-LocOrg
Александр PROPN I-NP B-Person
Мишарин PROPN I-NP I-Person
, PUNCT I-NP O
руководители NOUN I-NP O
соседних ADJ I-NP O
регионов NOUN I-NP O
. PUNCT B-VP O

Борис NOUN B-NP B-Person
Николаевич PROPN I-NP I-Person
сделал VERB B-VP O
больше ADV I-VP O
чем SCONJ I-VP O
кто PRON I-VP O
бы PART I-VP O
то PRON I-VP O
ни PART I-VP O
было VERB I-VP O
для ADP B-NP O
создания NOUN I-NP O
правового ADJ I-NP O
государства NOUN I-NP O
, PUNCT I-NP O
гражданского ADJ I-NP O
общества NOUN I-NP O
в ADP I-NP O
нашей DET I-NP O
стране NOUN I-NP O
. PUNCT B-VP O

Мы PRON B-VP O
помним VERB I-VP O
, PUNCT I-VP O
какую DET B-NP O
значительную ADJ I-NP O
роль NOUN I-NP O
в ADP I-NP O
создании NOUN I-NP O
Конституции PROPN I-NP O
сыграл VERB B-VP O
первый ADJ B-NP O
президент NOUN I-NP O
России PROPN I-NP B-LocOrg
. PUNCT B-VP O

И CCONJ B-NP O
в ADP I-NP O
дни NOUN I-NP O
празднования NOUN I-NP O
юбилея NOUN I-NP O
Бориса PROPN I-NP B-Person
Николаевича PROPN I-NP I-Person
в ADP I-NP O
городе NOUN I-NP O
проходит VERB B-VP O
первый ADJ B-NP O
Форум NOUN I-NP O
общенациональной ADJ I-NP O
программы NOUN I-NP O
« PROPN I-NP O
Гражданское ADJ I-NP O
общество NOUN I-NP O
— PROPN I-NP O
модернизация NOUN I-NP O
России PROPN I-NP B-LocOrg
» PROPN B-VP O
, PUNCT I-VP O
на ADP I-VP O
котором PRON I-VP O
обсуждаются VERB I-VP O
важнейшие ADJ B-NP O
вопросы NOUN I-NP O
. PUNCT B-VP O

Вчера ADV B-VP O
на ADP B-NP O
форуме NOUN I-NP O
работали VERB B-VP O
секции NOUN B-NP O
, PUNCT B-VP O
посвящённые VERB I-VP O
средствам NOUN B-NP O
массовой ADJ I-NP O
информации NOUN I-NP O
, PUNCT I-NP O
судебной ADJ I-NP O
и CCONJ I-NP O
военной ADJ I-NP O
реформам NOUN I-NP O
, PUNCT I-NP O
модернизации NOUN I-NP O
экономики NOUN I-NP O
