-DOCSTART- -X- -X- O
до ADP I-NP O
научных ADJ I-NP O
исследований NOUN I-NP O
на ADP I-NP O
станции NOUN I-NP O
. PUNCT B-VP O

Командир NOUN B-NP O
13-й ADJ I-NP B-Org
долговременной ADJ I-NP I-Org
экспедиции NOUN I-NP I-Org
Павел PROPN I-NP B-Person
Виноградов PROPN I-NP I-Person
и CCONJ I-NP O
бортинженер NOUN I-NP O
Джеффри PROPN I-NP B-Person
Уильямс PROPN I-NP I-Person
впервые ADV B-VP O
участвовали VERB I-VP O
в ADP B-NP O
пресс-конференции NOUN I-NP O
с ADP I-NP O
борта NOUN I-NP B-Location
МКС PROPN I-NP I-Location
. PUNCT B-VP O

Вместе ADV B-VP O
с ADP I-VP O
ними PRON I-VP O
, PUNCT I-VP O
на ADP B-NP O
вопросы NOUN I-NP O
корреспондентов NOUN I-NP O
отвечали VERB B-VP O
: PUNCT I-VP O
командир NOUN B-NP O
12-й ADJ I-NP B-Org
долговременной ADJ I-NP I-Org
экспедиции NOUN I-NP I-Org
Уильям PROPN I-NP B-Person
Макартур PROPN B-VP I-Person
, PUNCT B-NP O
бортинженер NOUN I-NP O
Валерий PROPN I-NP B-Person
Токарев PROPN I-NP I-Person
и CCONJ I-NP O
первый ADJ I-NP O
бразильский ADJ I-NP B-LocOrg
космонавт NOUN I-NP O
Маркос PROPN I-NP B-Person
Понтес PROPN I-NP I-Person
. PUNCT B-VP O

Вопросы NOUN B-NP O
задавались VERB B-VP O
из ADP B-NP O
Космического ADJ I-NP B-Location
центра NOUN I-NP I-Location
Джонсона PROPN B-VP B-Person
в ADP I-VP O
Хьюстоне PROPN I-VP B-Location
, PUNCT I-VP O
Космического ADJ I-VP B-Location
центра NOUN B-NP I-Location
Кеннеди PROPN B-VP B-Person
во ADP I-VP O
Флориде PROPN I-VP B-Location
и CCONJ I-VP O
из ADP I-VP O
Центра PROPN I-VP B-Location
управления NOUN B-NP O
полётом NOUN I-NP O
под ADP I-NP O
Москвой PROPN I-NP B-Location
. PUNCT B-VP O

Понтеса NOUN B-NP B-Person
спросили VERB B-VP O
о ADP B-NP O
снах NOUN I-NP O
, PUNCT B-VP O
которые PRON I-VP O
он PRON I-VP O
видит VERB I-VP O
на ADP B-NP O
станции NOUN I-NP O
. PUNCT B-VP O

Он PRON B-VP O
ответил VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
во ADP B-NP O
сне NOUN I-NP O
он PRON B-VP O
просто PART I-VP O
летает VERB I-VP O
сам ADJ I-VP O
собой PRON I-VP O
, PUNCT I-VP O
без ADP B-NP O
самолёта NOUN I-NP O
. PUNCT B-VP O

Когда SCONJ B-VP O
он PRON I-VP O
просыпается VERB I-VP O
, PUNCT I-VP O
то SCONJ I-VP O
видит VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
его PRON B-NP O
сон NOUN I-NP O
происходит VERB B-VP O
наяву ADV I-VP O
, PUNCT B-NP O
на ADP I-NP O
орбите NOUN I-NP O
. PUNCT B-VP O

Виноградов NOUN B-NP B-Person
сказал VERB B-VP O
, PUNCT I-VP O
что SCONJ I-VP O
в ADP B-NP O
первый ADJ I-NP O
день NOUN I-NP O
после ADP I-NP O
20-и NUM I-NP O
часов NOUN I-NP O
работы NOUN I-NP O
он PRON B-VP O
спал VERB I-VP O
без ADP B-NP O
снов NOUN I-NP O
. PUNCT B-VP O

Токарев PROPN B-VP B-Person
сказал VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
на ADP B-NP O
орбите NOUN I-NP O
ему PRON B-VP O
редко ADV I-VP O
снятся VERB I-VP O
сны NOUN B-NP O
. PUNCT B-VP O

Макартур NOUN B-NP B-Person
сказал VERB B-VP O
, PUNCT I-VP O
что SCONJ I-VP O
он PRON I-VP O
смотрит VERB I-VP O
вперёд ADV I-VP O
, PUNCT I-VP O
когда SCONJ I-VP O
он PRON I-VP O
вернётся VERB I-VP O
домой ADV I-VP O
и CCONJ I-VP O
увидит VERB I-VP O
свою DET B-NP O
семью NOUN I-NP O
. PUNCT B-VP O

Он PRON B-VP O
также ADV I-VP O
добавил VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
за ADP B-NP O
четыре NUM I-NP O
с ADP I-NP O
половиной NOUN I-NP O
года NOUN I-NP O
совместных ADJ I-NP O
с ADP I-NP O
Валерием PROPN I-NP B-Person
Токаревым PROPN I-NP I-Person
тренировок NOUN I-NP O
и CCONJ I-NP O
шесть NUM I-NP O
месяцев NOUN I-NP O
вместе ADV B-VP O
на ADP B-NP O
орбите NOUN I-NP O
, PUNCT B-VP O
он PRON I-VP O
приобрёл VERB I-VP O
« NOUN B-NP O
космического ADJ I-NP O
брата NOUN I-NP O
» PROPN I-NP O
. PUNCT B-VP O

Вместе ADV B-VP O
с ADP B-NP O
двумя NUM I-NP O
членами NOUN I-NP O
новой ADJ I-NP O
команды NOUN I-NP B-Org
МКС PROPN B-VP I-Org
, PUNCT I-VP O
мы PRON I-VP O
очень ADV I-VP O
довольны ADJ I-VP O
теми DET B-NP O
научными ADJ I-NP O
экспериментами NOUN I-NP O
, PUNCT B-VP O
котрые ADJ I-VP O
нам PRON I-VP O
удалось VERB I-VP O
провести VERB I-VP O
, PUNCT I-VP O
сказал VERB I-VP O
Макартур PROPN I-VP B-Person
. PUNCT I-VP O

Уильямс PROPN B-VP B-Person
добавил VERB I-VP O
, PUNCT I-VP O
что SCONJ I-VP O
с ADP B-NP O
прибытием NOUN I-NP O
астронавта NOUN I-NP O
Европейского ADJ I-NP B-Org
космического ADJ I-NP I-Org
агентства NOUN I-NP I-Org
Томаса PROPN I-NP B-Person
Райтера PROPN I-NP I-Person
на ADP B-VP O
следующем ADJ I-VP O
шаттле NOUN B-NP O
, PUNCT B-VP O
старт NOUN B-NP O
которого PRON I-NP O
запланирован VERB B-VP O
на ADP B-NP O
июль NOUN I-NP O
, PUNCT B-VP O
экипаж NOUN B-NP O
сможет VERB B-VP O
ещё ADV I-VP O
больше ADV I-VP O
уделять VERB I-VP O
времени NOUN B-NP O
научным ADJ I-NP O
исследованиям NOUN I-NP O
. PUNCT B-VP O

Макартур NOUN B-NP B-Person
сказал VERB B-VP O
, PUNCT I-VP O
что SCONJ I-VP O
хотелось VERB I-VP O
бы PART I-VP O
видеть VERB I-VP O
на ADP B-NP O
борту NOUN I-NP O
орбитальной ADJ I-NP O
лаборатории NOUN I-NP O
больше NUM I-NP O
космонавтов NOUN I-NP O
. PUNCT B-VP O

Это PRON B-VP O
позволило VERB I-VP O
бы PART I-VP O
в ADP B-NP O
большей ADJ I-NP O
мере NOUN I-NP O
использовать VERB B-VP O
возможности NOUN B-NP O
уникальной ADJ I-NP O
орбитальной ADJ I-NP O
лаборатории NOUN I-NP O
. PUNCT B-VP O

По ADP B-VP O
крайней ADJ I-VP O
мере NOUN B-NP O
73 NUM B-VP O
мигранта NOUN B-NP O
из ADP B-VP O
Африки PROPN I-VP B-Location
погибли VERB I-VP O
, PUNCT I-VP O
когда SCONJ I-VP O
пытались VERB I-VP O
попасть VERB I-VP O
на ADP B-NP O
моторной ADJ I-NP O
лодке NOUN I-NP O
из ADP B-VP O
Ливии PROPN I-VP B-Location
в ADP I-VP O
Италию PROPN I-VP B-Location
. PUNCT I-VP O

У ADP B-NP O
лодки NOUN I-NP O
закончилось VERB B-VP O
горючее NOUN B-NP O
, PUNCT I-NP O
и CCONJ I-NP O
она PRON I-NP O
три NUM I-NP O
недели NOUN I-NP O
дрейфовала VERB B-VP O
в ADP B-NP O
открытом ADJ I-NP O
море NOUN I-NP O
. PUNCT B-VP O

Люди NOUN B-NP O
постепенно ADV B-VP O
умирали VERB I-VP O
от ADP B-NP O
голода NOUN I-NP O
и CCONJ I-NP O
жажды NOUN I-NP O
, PUNCT B-VP O
а CCONJ I-VP O
их PRON B-NP O
тела NOUN I-NP O
выбрасывали VERB B-VP O
за ADP B-NP O
борт NOUN I-NP O
. PUNCT B-VP O

Когда SCONJ B-VP O
лодку NOUN B-NP O
нашли VERB B-VP O
итальянские ADJ B-NP O
пограничники NOUN I-NP O
, PUNCT B-VP O
в ADP I-VP O
живых ADJ I-VP O
осталось VERB I-VP O
только PART B-NP O
пять NUM I-NP O
граждан NOUN I-NP O
Эритреи PROPN B-VP B-Location
. PUNCT I-VP O

С ADP B-NP O
начала NOUN I-NP O
мая NOUN I-NP O
этого DET I-NP O
года NOUN I-NP O
, PUNCT I-NP O
когда SCONJ B-VP O
итальянские ADJ B-NP O
и CCONJ I-NP O
ливийские ADJ I-NP O
пограничники NOUN I-NP O
начали VERB B-VP O
совместное ADJ B-NP O
патрулирование NOUN I-NP O
, PUNCT B-VP O
всего PRON B-ROOT O
было AUX I-ROOT O
поймано VERB B-VP O
и CCONJ I-VP O
отправлено VERB I-VP O
назад ADV I-VP O
около ADP I-VP O
1000 NUM I-VP O
незаконных ADJ B-NP O
мигрантов NOUN I-NP O
. PUNCT B-ROOT O

Лодку NOUN B-NP O
с ADP I-NP O
африканцами NOUN I-NP O
замечали VERB B-VP O
с ADP B-NP O
торговых ADJ I-NP O
судов NOUN I-NP O
около ADP I-NP O
10 NUM I-NP O
раз NOUN I-NP O
, PUNCT B-VP O
но CCONJ I-VP O
только PART B-NP O
один NUM I-NP O
корабль NOUN I-NP O
остановился VERB B-VP O
, PUNCT I-VP O
чтобы SCONJ I-VP O
оказать VERB I-VP O
им PRON I-VP O
помощь NOUN B-NP O
. PUNCT B-VP O

Причина NOUN B-NP O
такого DET I-NP O
безразличия NOUN I-NP O
— PROPN I-NP O
страх NOUN I-NP O
надолго ADV B-VP O
застрять VERB I-VP O
в ADP B-NP O
море NOUN I-NP O
с ADP B-VP O
незаконными ADJ I-VP O
мигрантами NOUN B-NP O
на ADP I-NP O
борту NOUN I-NP O
. PUNCT I-NP O

В ADP B-NP O
апреле NOUN I-NP O
власти NOUN I-NP O
Мальты PROPN B-VP B-LocOrg
и CCONJ I-VP O
Италии PROPN I-VP B-LocOrg
не PART I-VP O
могли VERB I-VP O
в ADP B-NP O
течении NOUN I-NP O
4 NUM I-NP O
дней NOUN I-NP O
договориться VERB B-VP O
, PUNCT I-VP O
кто PRON I-VP O
из ADP I-VP O
них PRON I-VP O
должен ADJ I-VP O
принять VERB I-VP O
140 NUM B-NP O
нелегальных ADJ I-NP O
мигрантов NOUN I-NP O
, PUNCT B-VP O
спасенных VERB I-VP O
одним NUM B-NP O
турецким ADJ I-NP O
судном NOUN I-NP O
. PUNCT B-VP O

Кстати ADV B-VP O
за ADP B-NP O
два NUM I-NP O
дня NOUN I-NP O
до ADP I-NP O
итальянцев NOUN I-NP O
, PUNCT B-VP O
мальтийские ADJ B-NP O
пограничники NOUN I-NP O
уже ADV B-VP O
задерживали VERB I-VP O
лодку NOUN B-NP O
. PUNCT B-VP O

Однако ADV B-VP O
они PRON I-VP O
только PART I-VP O
дали VERB I-VP O
им PRON I-VP O
топливо NOUN B-NP O
, PUNCT B-VP O
помогли VERB I-VP O
завести VERB I-VP O
двигатель NOUN B-NP O
и CCONJ B-VP O
указали VERB I-VP O
дорогу NOUN B-NP O
. PUNCT B-VP O

В ADP B-NP O
свое DET I-NP O
оправдание NOUN I-NP O
мальтийцы NOUN I-NP O
горят VERB B-VP O
, PUNCT I-VP O
что SCONJ I-VP O
африканские ADJ B-NP O
мигранты NOUN I-NP O
не PART B-VP O
просили VERB I-VP O
их PRON I-VP O
спасти VERB I-VP O
. PUNCT I-VP O

Два NUM B-VP O
в ADP I-VP O
одном NUM I-VP O
Звёзды PROPN I-VP O
отечественного ADJ I-VP O
рок-н-ролла NOUN B-NP O
80-х ADJ B-VP O
встретятся VERB I-VP O
на ADP B-NP O
сцене NOUN I-NP O
московского ADJ I-NP B-Org
клуба NOUN I-NP I-Org
« PROPN I-NP O
16 NUM I-NP B-Org
тонн NOUN I-NP O
» PROPN I-NP O
. PUNCT B-VP O

13 NUM B-VP O
ноября NOUN B-NP O
Василий PROPN B-VP B-Person
Шумов PROPN I-VP I-Person
, PUNCT B-NP O
лидер NOUN I-NP O
московского ADJ I-NP B-Org
« NOUN I-NP O
Центра PROPN I-NP B-Org
» PROPN B-VP O
, PUNCT I-VP O
и CCONJ I-VP O
Михаил PROPN I-VP B-Person
Борзыкин PROPN I-VP I-Person
, PUNCT I-VP O
солист NOUN B-NP O
ленинградского ADJ I-NP B-Org
« NOUN I-NP O
Телевизора PROPN I-NP B-Org
» PROPN B-VP O
, PUNCT I-VP O
снова ADV I-VP O
встретятся VERB I-VP O
на ADP B-NP O
одной NUM I-NP O
сцене NOUN I-NP O
. PUNCT B-VP O

Эти DET B-VP O
легендарные ADJ I-VP O
музыканты NOUN B-NP O
с ADP I-NP O
начала NOUN I-NP O
перестройки NOUN I-NP O
и CCONJ I-NP O
до ADP I-NP O
настоящего ADJ I-NP O
времени NOUN I-NP O
остаются VERB B-VP O
вне ADP I-VP O
музыкального ADJ I-VP O
мейнстрима NOUN B-NP O
. PUNCT B-VP O

При ADP B-VP O
этом PRON I-VP O
корифеи NOUN B-NP O
российского ADJ I-NP O
рок-н-ролла NOUN I-NP O
продолжают VERB B-VP O
приумножать VERB I-VP O
число NOUN B-NP O
поклонников NOUN I-NP O
своего DET I-NP O
творчества NOUN I-NP O
. PUNCT B-VP O

Критики NOUN B-NP O
сравнивают VERB B-VP O
ранние ADJ B-NP O
записи NOUN I-NP O
« PROPN B-VP O
Центра PROPN I-VP B-Org
» PROPN I-VP O
с ADP I-VP O
Kraftwerk PROPN I-VP B-Org
, PUNCT B-NP O
а CCONJ I-NP O
композиции NOUN I-NP O
« PROPN I-NP O
Телевизора PROPN I-NP B-Org
» PROPN B-VP O
— PROPN I-VP O
с ADP B-NP O
творчеством NOUN I-NP O
Depeche PROPN B-VP B-Org
Mode PROPN I-VP O
и CCONJ I-VP O
The PROPN I-VP B-Org
Smiths PROPN I-VP O
. PUNCT I-VP O

Сегодня ADV B-VP O
звучание NOUN B-NP O
и CCONJ I-NP O
содержание NOUN I-NP O
этих DET I-NP O
коллективов NOUN I-NP O
остаётся VERB B-VP O
свежим ADJ I-VP O
и CCONJ I-VP O
интересным ADJ I-VP O
. PUNCT I-VP O

Шумов NOUN B-NP B-Person
первым ADJ B-VP O
в ADP I-VP O
СССР PROPN I-VP B-LocOrg
начал VERB I-VP O
электронные ADJ B-NP O
эксперименты NOUN I-NP O
, PUNCT B-VP O
записал VERB I-VP O
более ADV I-VP O
10 NUM I-VP O
магнитоальбомов NOUN B-NP O
, PUNCT B-VP O
продюсировал VERB I-VP O
пластинки NOUN B-NP O
Петра PROPN B-VP B-Person
Мамонова PROPN I-VP I-Person
и CCONJ I-VP O
Жанны PROPN I-VP B-Person
Агузаровой PROPN I-VP I-Person
. PUNCT I-VP O

В ADP B-NP O
начале NOUN I-NP O
90-х ADJ I-NP O
он PRON B-VP O
женился VERB I-VP O
на ADP B-NP O
сестре NOUN I-NP O
Джоанны PROPN I-NP B-Person
Стингрей PROPN B-VP I-Person
и CCONJ I-VP O
переехал VERB I-VP O
в ADP I-VP O
США PROPN I-VP B-LocOrg
, PUNCT I-VP O
где ADV I-VP O
преподаёт VERB I-VP O
технологии NOUN B-NP O
мультимедиа NOUN I-NP O
в ADP I-NP O
Университете PROPN I-NP B-Org
Лос-Анджелеса PROPN I-NP B-LocOrg
. PUNCT B-VP O

Последние ADJ B-NP O
альбомы NOUN I-NP O
Шумов PROPN B-VP B-Person
записывает VERB I-VP O
совместно ADV I-VP O
со ADP B-NP O
своими DET I-NP O
слушателями NOUN I-NP O
— PROPN I-NP O
« PROPN I-NP O
центробораторами NOUN I-NP O
» PROPN I-NP O
, PUNCT B-VP O
пересылая VERB I-VP O
треки NOUN B-NP O
через ADP I-NP O
интернет NOUN I-NP B-Org
. PUNCT B-VP O

Михаил NOUN B-NP B-Person
Борзыкин PROPN I-NP I-Person
по ADP I-NP O
праву NOUN I-NP O
считается VERB B-VP O
родоначальником NOUN B-NP O
русской ADJ I-NP O
неоромантики NOUN I-NP O
. PUNCT B-VP O

Группа NOUN B-NP O
известна ADJ B-ROOT O
своими DET I-ROOT O
мрачными ADJ I-ROOT O
нонконформистскими ADJ I-ROOT O
текстами NOUN B-NP O
в ADP I-NP O
модных ADJ I-NP O
экспериментальных ADJ I-NP O
аранжировках NOUN I-NP O
. PUNCT B-ROOT O

Сегодня ADV B-VP O
25-летний ADJ B-NP O
« NOUN I-NP O
Телевизор NOUN I-NP B-Org
» PROPN I-NP O
переживает VERB B-VP O
творческий ADJ B-NP O
подъём NOUN I-NP O
, PUNCT B-VP O
часто ADV I-VP O
выступает VERB I-VP O
на ADP B-NP O
политических ADJ I-NP O
митингах NOUN I-NP O
и CCONJ I-NP O
общественных ADJ I-NP O
акциях NOUN I-NP O
, PUNCT B-VP O
записал VERB I-VP O
альбом NOUN B-NP O
« PROPN B-VP O
Дежавю PROPN I-VP O
» PROPN I-VP O
— PROPN I-VP O
первый ADJ I-VP O
за ADP B-NP O
последние ADJ I-NP O
четыре NUM I-NP O
года NOUN I-NP O
. PUNCT B-VP O

Corus NOUN B-NP O
Chess PROPN I-NP O
Tournament PROPN I-NP O
2006 NUM B-VP O
В ADP B-NP O
маленьком ADJ I-NP O
голландском ADJ I-NP B-Location
городке NOUN I-NP I-Location
Вейк-ан-Зее PROPN I-NP I-Location
проводится VERB B-VP O
традиционный ADJ B-NP O
шахматный ADJ I-NP O
турнир NOUN I-NP O
— PROPN I-NP O
« PROPN I-NP O
Шахматный ADJ I-NP O
турнир NOUN I-NP O
Корус PROPN B-VP O
» PROPN I-VP O
( PROPN I-VP O
Corus PROPN I-VP O
Chess PROPN I-VP O
Tournament PROPN I-VP O
) PROPN I-VP O
, PUNCT I-VP O
который PRON I-VP O
, PUNCT I-VP O
на ADP B-NP O
самом ADJ I-NP O
деле NOUN I-NP O
состоит VERB B-VP O
из ADP B-NP O
нескольких NUM I-NP O
турниров NOUN I-NP O
— PROPN B-VP O
A PROPN I-VP O
, PUNCT I-VP O
B PROPN I-VP O
, PUNCT I-VP O
C PROPN B-NP O
и CCONJ I-NP O
несколько NUM I-NP O
турниров NOUN I-NP O
для ADP I-NP O
любителей NOUN I-NP O
. PUNCT B-VP O

Главный ADJ B-NP O
турнир NOUN I-NP O
— PROPN B-VP O
А PROPN I-VP O
, PUNCT I-VP O
обычно ADV I-VP O
собирает VERB I-VP O
очень ADV B-NP O
сильный ADJ I-NP O
состав NOUN I-NP O
и CCONJ B-VP O
относится VERB I-VP O
к ADP B-NP O
категории NOUN I-NP O
« PROPN B-VP O
супертурниров NOUN B-NP O
» PROPN B-VP O
. PUNCT B-NP O

В ADP B-NP O
этом DET I-NP O
году NOUN I-NP O
Corus PROPN I-NP O
Chess PROPN I-NP O
Tournament PROPN I-NP O
состоится VERB B-VP O
с ADP B-NP O
13 NUM I-NP O
по ADP I-NP O
29 NUM I-NP O
января NOUN I-NP O
. PUNCT I-NP O

В ADP B-NP O
главном ADJ I-NP O
турнире NOUN I-NP O
будут AUX I-NP O
играть VERB B-VP O
14 NUM B-NP O
гроссмейстеров NOUN I-NP O
, PUNCT B-VP O
из ADP I-VP O
них PRON I-VP O
6 NUM I-VP O
из ADP I-VP O
первой ADJ I-VP O
рейтинговой ADJ I-VP O
десятки NOUN B-NP O
ФИДЕ PROPN I-NP B-Org
. PUNCT B-VP O

Это PRON B-NP O
будет AUX I-NP O
первое ADJ I-NP O
серьёзное ADJ I-NP O
испытание NOUN I-NP O
для ADP I-NP O
нового ADJ I-NP O
Чемпиона PROPN I-NP O
мира NOUN I-NP O
ФИДЕ PROPN I-NP B-Org
— PROPN I-NP O
Веселина PROPN I-NP B-Person
Топалова PROPN I-NP I-Person
( PROPN I-NP O
Болгария PROPN I-NP B-Location
) PROPN I-NP O
. PUNCT I-NP O

Будет AUX B-VP O
играть VERB I-VP O
в ADP B-NP O
турнире NOUN I-NP O
и CCONJ I-NP O
обладатель NOUN I-NP O
Кубка PROPN I-NP O
мира NOUN I-NP O
ФИДЕ PROPN I-NP B-Org
— PROPN I-NP O
Левон PROPN B-VP B-Person
Аронян PROPN I-VP I-Person
( PROPN I-VP O
Армения PROPN I-VP B-Location
) PROPN I-VP O
. PUNCT I-VP O

Будут VERB B-VP O
также ADV I-VP O
играть VERB I-VP O
такие DET B-NP O
сильные ADJ I-NP O
шахматисты NOUN I-NP O
, PUNCT I-NP O
как SCONJ I-NP O
Вишванатан PROPN I-NP B-Person
Ананд PROPN I-NP I-Person
( PROPN I-NP O
Индия PROPN I-NP B-Location
) PROPN I-NP O
, PUNCT I-NP O
Василий PROPN I-NP B-Person
Иванчук PROPN I-NP I-Person
( PROPN I-NP O
Украина PROPN I-NP B-Location
) PROPN I-NP O
, PUNCT I-NP O
Петер PROPN I-NP B-Person
Леко PROPN I-NP I-Person
( PROPN I-NP O
Венгрия PROPN I-NP B-Location
) PROPN I-NP O
, PUNCT I-NP O
Борис PROPN I-NP B-Person
Гельфанд PROPN I-NP I-Person
( PROPN I-NP O
Израиль PROPN I-NP B-Location
) PROPN I-NP O
. PUNCT B-VP O

После ADP B-NP O
длительного ADJ I-NP O
перерыва NOUN I-NP O
играет VERB B-VP O
в ADP B-NP O
супертурнире NOUN I-NP O
Гата PROPN I-NP B-Person
Камский PROPN I-NP I-Person
. PUNCT B-VP O

И CCONJ B-ROOT O
юный ADJ B-NP O
( NOUN I-NP O
15 NUM I-NP O
лет NOUN I-NP O
) PROPN I-NP O
гроссмейстер NOUN I-NP O
из ADP I-NP O
Украины PROPN I-NP B-Location
Сергей PROPN I-NP B-Person
Карякин PROPN I-NP I-Person
. PUNCT I-NP O

За ADP B-NP O
неделю NOUN I-NP O
до ADP I-NP O
начала NOUN I-NP O
турнира NOUN I-NP O
, PUNCT I-NP O
отказался VERB B-VP O
от ADP B-NP O
участия NOUN I-NP O
, PUNCT B-VP O
по ADP B-NP O
причине NOUN I-NP O
болезни NOUN I-NP O
, PUNCT B-VP O
« NOUN B-NP O
Классический ADJ I-NP O
чемпион NOUN I-NP O
мира NOUN I-NP O
» PROPN I-NP O
Владимир PROPN I-NP B-Person
Крамник PROPN I-NP I-Person
( PROPN I-NP O
Россия PROPN I-NP B-Location
) PROPN I-NP O
. PUNCT B-VP O

Впервые ADV B-VP O
за ADP B-NP O
последние ADJ I-NP O
годы NOUN I-NP O
в ADP I-NP O
главном ADJ I-NP O
турнире NOUN I-NP O
не PART B-VP O
участвуют VERB I-VP O
шахматисты NOUN B-NP O
из ADP I-NP O
России PROPN I-NP B-Location
, PUNCT B-VP O
которые PRON I-VP O
неоднократно ADV I-VP O
выигрывали VERB I-VP O
этот DET B-NP O
турнир NOUN I-NP O
. PUNCT B-VP O

Положение NOUN B-NP O
о ADP I-NP O
турнире NOUN I-NP O
Corus PROPN I-NP O
Chess PROPN I-NP O
Tournament PROPN I-NP O
будет AUX B-VP O
проводится VERB I-VP O
с ADP I-VP O
13 NUM I-VP O
по ADP I-VP O
29 NUM I-VP O
января NOUN B-NP O
2006 NUM I-NP O
года NOUN I-NP O
. PUNCT B-VP O

В ADP B-NP O
турнире NOUN I-NP O
А PROPN B-VP O
будут AUX I-VP O
играть VERB I-VP O
14 NUM B-NP O
гроссмейстеров NOUN I-NP O
по ADP I-NP O
круговой ADJ I-NP O
системе NOUN I-NP O
( NOUN I-NP O
каждый ADJ I-NP O
с ADP I-NP O
каждым ADJ I-NP O
) NOUN I-NP O
. PUNCT I-NP O

Будет AUX B-VP O
проведено VERB I-VP O
13 NUM B-NP O
туров NOUN I-NP O
. PUNCT B-VP O

Начало NOUN B-NP O
туров NOUN I-NP O
— PROPN I-NP O
13 NUM I-NP O
часов NOUN I-NP O
30 NUM I-NP O
минут NOUN I-NP O
( NOUN I-NP O
средне ADV I-NP O
европейское ADJ I-NP O
время NOUN I-NP O
, PUNCT I-NP O
UTC PROPN I-NP O
+ SYM I-NP O
1 NUM I-NP O
, PUNCT I-NP O
15 NUM I-NP O
часов NOUN I-NP O
30 NUM I-NP O
минут NOUN I-NP O
московского ADJ I-NP O
времени NOUN I-NP O
) PROPN I-NP O
. PUNCT I-NP O

Последний ADJ B-NP O
тур NOUN I-NP O
( PROPN I-NP O
29 NUM I-NP O
января NOUN I-NP O
) NOUN I-NP O
начинается VERB B-VP O
в ADP B-NP O
12 NUM I-NP O
часов NOUN I-NP O
30 NUM I-NP O
минут NOUN I-NP O
. PUNCT B-VP O

Предусмотрены VERB B-VP O
три NUM B-NP O
выходных NOUN I-NP O
дня NOUN I-NP O
— PROPN B-VP O
18 NUM I-VP O
, PUNCT I-VP O
23 NUM I-VP O
и CCONJ I-VP O
26 NUM I-VP O
января NOUN B-NP O
. PUNCT B-VP O

Контроль NOUN B-NP O
времени NOUN I-NP O
— PROPN I-NP O
2 NUM I-NP O
часа NOUN I-NP O
на ADP I-NP O
40 NUM I-NP O
ходов NOUN I-NP O
, PUNCT I-NP O
далее ADV I-NP O
1 NUM I-NP O
час NOUN I-NP O
на ADP I-NP O
20 NUM I-NP O
ходов NOUN I-NP O
далее ADV I-NP O
30 NUM I-NP O
минут NOUN I-NP O
до ADP I-NP O
конца NOUN I-NP O
партии NOUN I-NP O
. PUNCT I-NP O

Участники NOUN B-NP O
турнира NOUN I-NP O
• PROPN I-NP O
Веселин PROPN I-NP B-Person
Топалов PROPN I-NP I-Person
( PROPN I-NP O
Болгария PROPN I-NP B-Location
, PUNCT I-NP O
30 NUM I-NP O
лет NOUN I-NP O
, PUNCT I-NP O
рейтинг NOUN I-NP O
— NOUN I-NP O
2801 NUM I-NP O
) ADJ I-NP O
• NOUN I-NP O
Вишванатан PROPN I-NP B-Person
Ананд PROPN I-NP I-Person
( PROPN I-NP O
Индия PROPN I-NP B-Location
, PUNCT I-NP O
36 NUM I-NP O
, PUNCT I-NP O
2792 NUM I-NP O
) ADJ I-NP O
• NOUN I-NP O
Левон PROPN I-NP B-Person
Аронян PROPN I-NP I-Person
( PROPN I-NP O
Армения PROPN I-NP B-Location
, PUNCT I-NP O
23 NUM I-NP O
, PUNCT I-NP O
2752 NUM I-NP O
) ADJ I-NP O
• NOUN I-NP O
Петер PROPN I-NP B-Person
Леко PROPN I-NP I-Person
( PROPN I-NP O
Венгрия PROPN I-NP B-Location
, PUNCT I-NP O
26 NUM B-ROOT O
, PUNCT I-ROOT O
2740 NUM I-ROOT O
) ADJ I-ROOT O
• NOUN B-NP O
Василий PROPN B-ROOT B-Person
Иванчук PROPN I-ROOT I-Person
( PROPN I-ROOT O
Украина PROPN I-ROOT B-Location
, PUNCT I-ROOT O
36 NUM I-ROOT O
, PUNCT I-ROOT O
2729 NUM I-ROOT O
) ADJ I-ROOT O
• NOUN B-NP O
Борис PROPN B-ROOT B-Person
Гельфанд PROPN I-ROOT I-Person
( PROPN I-ROOT O
Израиль PROPN I-ROOT B-Location
, PUNCT I-ROOT O
37 NUM I-ROOT O
, PUNCT I-ROOT O
2723 NUM I-ROOT O
) ADJ I-ROOT O
• NOUN B-NP O
Этьенн PROPN B-ROOT B-Person
Бакро PROPN I-ROOT I-Person
( PROPN I-ROOT O
Франция PROPN I-ROOT B-Location
, PUNCT I-ROOT O
22 NUM I-ROOT O
, PUNCT I-ROOT O
2717 NUM I-ROOT O
) ADJ I-ROOT O
• NOUN B-NP O
Шахрияр PROPN B-ROOT B-Person
Мамедьяров PROPN I-ROOT I-Person
( PROPN I-ROOT O
Азербайджан PROPN I-ROOT B-Location
, PUNCT I-ROOT O
20 NUM I-ROOT O
, PUNCT I-ROOT O
2709 NUM I-ROOT O
) ADJ I-ROOT O
• NOUN B-NP O
Майкл PROPN B-ROOT B-Person
